NAICS Code,NAICS Description,Total Employment,State
71,"Arts, entertainment, and recreation",10138.0,Montana
72,Accommodation and food services,44964.0,Montana
81,Other services (except public administration),15023.0,Montana
99,Industries not classified,0.0,Montana
--,Total,779508.0,Nebraska
11,"Agriculture, forestry, fishing and hunting",1005.0,Nebraska
21,"Mining, quarrying, and oil and gas extraction",934.0,Nebraska
22,Utilities,0.0,Nebraska
23,Construction,42327.0,Nebraska
31-33,Manufacturing,93831.0,Nebraska
42,Wholesale trade,39429.0,Nebraska
44-45,Retail trade,106713.0,Nebraska
48-49,Transportation and warehousing,39710.0,Nebraska
51,Information,20034.0,Nebraska
52,Finance and insurance,60412.0,Nebraska
53,Real estate and rental and leasing,9968.0,Nebraska
54,"Professional, scientific, and technical services",49650.0,Nebraska
55,Management of companies and enterprises,14222.0,Nebraska
56,Administrative and support and waste management and remediation services,48465.0,Nebraska
61,Educational services,18245.0,Nebraska
62,Health care and social assistance,117081.0,Nebraska
71,"Arts, entertainment, and recreation",11545.0,Nebraska
72,Accommodation and food services,68905.0,Nebraska
81,Other services (except public administration),35757.0,Nebraska
99,Industries not classified,0.0,Nebraska
--,Total,1042166.0,Nevada
11,"Agriculture, forestry, fishing and hunting",0.0,Nevada
21,"Mining, quarrying, and oil and gas extraction",11291.0,Nevada
22,Utilities,0.0,Nevada
23,Construction,87889.0,Nevada
31-33,Manufacturing,42775.0,Nevada
42,Wholesale trade,35406.0,Nevada
44-45,Retail trade,131285.0,Nevada
48-49,Transportation and warehousing,42974.0,Nevada
51,Information,16784.0,Nevada
52,Finance and insurance,37257.0,Nevada
53,Real estate and rental and leasing,28760.0,Nevada
54,"Professional, scientific, and technical services",52666.0,Nevada
55,Management of companies and enterprises,12130.0,Nevada
56,Administrative and support and waste management and remediation services,89838.0,Nevada
61,Educational services,8984.0,Nevada
62,Health care and social assistance,97368.0,Nevada
71,"Arts, entertainment, and recreation",26382.0,Nevada
72,Accommodation and food services,283211.0,Nevada
81,Other services (except public administration),31458.0,Nevada
99,Industries not classified,121.0,Nevada
--,Total,568043.0,New Hampshire
